"State","Occupation","Pixels","State.Pixels","PixPercent","Number","CensusPercent"
"Montana","Manufacturing",NA,NA,NA,8030,42.2601790287339
"Montana","Trade",NA,NA,NA,1233,6.48901628174706
"Montana","Service",NA,NA,NA,2674,14.0726922444377
"Montana","School",NA,NA,NA,919,4.83650118647652
"Montana","Unaccounted",NA,NA,NA,4034.33928571429,21.2318680544135
"New Mexico","Agriculture",NA,NA,NA,18668,29.8602907005909
"New Mexico","Manufacturing",NA,NA,NA,2295,3.67095388675038
"New Mexico","Trade",NA,NA,NA,863,1.38040662495232
"New Mexico","Service",NA,NA,NA,7535,12.0525653754528
"New Mexico","School",NA,NA,NA,1880,3.00714305319857
"New Mexico","Unaccounted",NA,NA,NA,31276.8106508876,50.0286403590551
"Utah","Agriculture",NA,NA,NA,10428,17.8601645991054
"Utah","Manufacturing",NA,NA,NA,4107,7.03410970545893
"Utah","Trade",NA,NA,NA,1665,2.85166609680768
"Utah","Service",NA,NA,NA,5317,9.10649167370956
"Utah","School",NA,NA,NA,14625,25.0484184179053
"Utah","Unaccounted",NA,NA,NA,22244.9199084668,38.0991495070132
"Washington","Agriculture",NA,NA,NA,3771,21.1418939581483
"Washington","Manufacturing",NA,NA,NA,2653,14.873891453452
"Washington","Trade",NA,NA,NA,1129,6.32967337012713
"Washington","Service",NA,NA,NA,2207,12.3734181823477
"Washington","School",NA,NA,NA,3532,19.8019542456059
"Washington","Unaccounted",NA,NA,NA,4544.62337662338,25.4791687903191
"Wyoming","Agriculture",NA,NA,NA,165,1.89577914956287
"Wyoming","Manufacturing",NA,NA,NA,1664,19.1186454840765
"Wyoming","Trade",NA,NA,NA,1646,18.9118332132151
"Wyoming","Service",NA,NA,NA,3170,36.421938812814
"Wyoming","School",NA,NA,NA,364,4.18220369964173
"Wyoming","Unaccounted",NA,NA,NA,1694.54545454545,19.4695996406898
