State,TOTAL POPULATION,MALE CITIZENS 21 YEARS AGE AND OVER,MALES 21 YEARS AGE AND OVER,MALES 18-45 YEARS AGE,FEMALES 5-18 YEARS AGE,MALES 5-18 YEARS AGE,TOTAL FEMALES,TOTAL MALES,WHITE MALES 15-20 WHO CANNOT WRITE,WHITE FEMALES 15-20 WHO CANNOT WRITE,WHITE MALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 21 AND OVER WHO CANNOT WRITE,COLORED MALES 10-14 WHO CANNOT WRITE,COLORED FEMALES 10-14 WHO CANNOT WRITE,COLORED MALES 15-20 WHO CANNOT WRITE,COLORED FEMALES 15-20 WHO CANNOT WRITE,COLORED MALES 21 AND OVER WHO CANNOT WRITE,COLORED FEMALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 10-14 WHO CANNOT WRITE,WHITE MALES 10-14 WHO CANNOT WRITE,FOREIGN-BORN PERSONS WHO CANNOT WRITE,TOTAL PERSONS ATTENDING SCHOOL,NATIVE-BORN PERSONS ATTENDING SCHOOL,FOREIGN-BORN PERSONS ATTENDING SCHOOL,WHITE MALES ATTENDING SCHOOL,WHITE FEMALES ATTENDING SCHOOL,COLORED MALES ATTENDING SCHOOL,COLORED FEMALES ATTENDING SCHOOL,PERSONS 10 AND OVER WHO CANNOT READ,TOTAL PERSONS WHO CANNOT WRITE,NATIVE-BORN PERSONS WHO CANNOT WRITE,MANUFACTURING ESTABLISHMENTS,TOTAL HANDS EMPLOYED IN MANUFACTURING,MALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,FEMALES ABOVE AGE 16 EMPLOYED IN MANUFACTURING,YOUTHS EMPLOYED IN MANUFACTURING,TOTAL CAPITAL INVESTED (IN DOLLARS) IN MANUFACTURING,TOTAL WAGES PAID IN MANUFACTURING
MISSISSIPPI,827922,169737,174845,149698,137587,141412,414501,413421,5447,4749,9357,13746,24076,22606,23216,26867,80810,87327,6555,8174,827,39141,39085,56,17139,16264,2768,2970,291718,313310,312483,1731,5941,5500,191,250,4501714,1547428
MISSOURI,1721295,380235,408206,352998,283487,294316,824948,896347,14755,12731,34780,50124,5364,5133,5355,6181,18002,20587,21864,27509,15584,324348,317745,6603,165792,149468,4557,4523,146771,222411,206827,11871,65354,55904,3884,5566,80257244,31055445
NEBRASKA,122993,36169,39080,35677,16744,17779,52568,70425,317,212,956,1169,16,10,15,21,93,50,809,1167,1309,17956,16587,1369,9437,8463,30,18,2365,4861,3552,670,2665,2558,81,26,2169963,1429913
NEVADA,42491,18652,26920,24762,2575,2762,10112,32379,20,10,474,126,0,0,0,0,15,6,15,8,774,2893,2796,97,1451,1433,6,2,727,872,98,330,2859,2856,3,0,5127790,2498473
NEW HAMPSHIRE,318300,83361,91016,60684,38693,40073,162660,155640,712,700,3361,4225,4,3,10,8,38,32,377,456,7934,65824,64366,1458,34353,31423,25,23,7618,9926,1992,3342,40783,25829,12775,2179,36023743,13823091
NEW JERSEY,906096,194109,231862,180987,130813,132049,456424,449672,2113,2309,14515,21916,432,443,481,551,2881,3509,2546,2987,24961,158099,152009,6090,79320,75428,1784,1553,37057,54687,29726,6636,75552,58115,11198,6239,79606719,32648409
NEW YORK,4382759,981587,1158901,881500,617329,613659,2219530,2163229,8138,10435,73208,116744,371,366,585,622,3912,4874,9127,10772,168569,846796,806640,40156,430731,410426,2835,2753,163501,239271,70702,36206,351800,267378,63795,20627,366994320,142466758
NORTH CAROLINA,1071361,214224,217813,174825,177509,182421,552657,518704,15384,16527,33111,62728,21313,19642,21341,23464,68669,76177,18407,20240,117,65301,65282,19,28357,25511,5491,5928,339789,397690,397573,3642,13622,11339,1422,861,8140473,2195711
OHIO,2665260,592350,640820,501750,420505,425466,1327710,1337550,8568,7491,41439,68449,1274,1115,1372,1398,7531,8076,11372,15064,39070,645639,632202,13437,329367,306413,5097,4747,92720,173172,134102,22773,137202,119686,11575,5941,141923964,49066488
OREGON,90923,24608,28616,23959,14365,15035,37792,53131,161,109,1085,1096,3,4,4,3,48,28,388,572,1424,18096,17962,134,9574,8475,20,8,2609,4427,3003,969,2884,2753,67,64,4376849,1120173
PENNSYLVANIA,3521951,776345,865883,679506,535907,540133,1763452,1758499,8494,9655,61350,116261,401,450,719,1096,5758,7469,4963,5735,95553,725004,706716,18288,369674,347445,4023,3857,131728,222356,126803,37200,319487,256543,43712,19232,406821845,127976594
RHODE ISLAND,217353,43996,58752,44377,27941,27834,112597,104756,1090,1383,5922,10152,26,20,63,49,291,421,1195,1289,17477,34948,32921,2027,17643,16649,309,309,15416,21921,4444,1850,49417,28804,14752,5861,66557322,19354256
SOUTH CAROLINA,705606,146614,148052,120151,115406,118509,361704,343902,5411,5691,12490,17901,20887,19918,20329,25276,70830,77924,6375,7299,653,41569,41519,50,12731,11961,8339,8534,265892,290379,289726,1584,8141,7099,578,464,5400418,1543715
TENNESSEE,1258520,259016,263200,222903,211670,217922,635173,623347,15962,17349,37713,68825,16407,15245,16279,18835,55938,63248,17991,20887,1742,120710,120569,141,58524,51790,4938,5453,290549,364697,362955,5317,19412,17663,1089,660,15595295,5390630
TEXAS,818579,169258,184094,158765,139667,145184,395022,423557,7144,6482,17505,19845,14323,13366,13070,15040,47235,47583,8748,11171,18369,65205,64384,821,31598,29412,2045,2144,200423,221703,203334,2399,7927,7450,157,320,5284110,1787835
VERMONT,330551,74867,90806,62459,44164,45667,164830,165721,1317,1105,6867,6445,3,3,16,12,45,37,815,1035,13804,70199,67235,2964,36755,33349,58,37,15185,17706,3902,3270,18686,16301,1872,513,20329637,6264581
VIRGINIA,1225163,266680,269242,206658,196709,200103,628105,597058,11095,10343,27646,40351,29723,27710,26161,31047,97908,109687,15358,18745,1270,70871,70768,103,31783,28009,5105,5943,390913,445893,444623,5933,26974,22175,2259,2540,18455400,5343099
WEST VIRGINIA,442014,93435,95317,76832,73965,76879,219171,222843,5808,5913,15181,24545,861,804,844,860,3186,3442,9342,10704,3101,82193,81786,407,43278,37703,634,578,48802,81490,78389,2444,11672,10728,287,657,11084520,4322164
WISCONSIN,1054670,203077,255159,192331,175347,178669,509784,544886,2777,2487,17637,22670,12,7,25,16,185,115,4244,5030,41328,260732,235835,24897,135015,125281,180,126,35031,55441,14113,7013,43910,40296,2114,1500,41981872,13575642
